,Cluster,Repo Name
0,Core,"['abm1559', 'aleth', 'annotated-spec', 'async-service', 'asyncio-cancel-token', 'asyncio-run-in-process', 'beaconrunner', 'beacon_chain', 'bimini', 'blake2b-py', 'bls12-381-tests', 'btcrelay', 'c-kzg-4844', 'casper', 'cbc-casper', 'consensus-deployment-ansible', 'consensus-spec-tests', 'consensus-specs', 'cpp-dependencies', 'cpp-ethash', 'devcommon', 'distributed-validator-specs', 'eth-bloom', 'eth-hash', 'eth-keyfile', 'eth2-client-tests', 'eth2.0-tests', 'ethash', 'ethereumj', 'evmcodegen', 'evmjit', 'evmone', 'execution-spec-tests', 'execution-specs', 'fe', 'fuzzertests', 'genesis_block_generator', 'gethkey', 'go-ethereum', 'go-verkle', 'hevm', 'kzg-ceremony-specs', 'kzg-ceremony-verifier', 'legacytests', 'leveldb', 'libethereum', 'mantis-apache2', 'merge-testnet-verifier', 'oyente', 'portal-accumulators', 'portal-spec-tests', 'pos-evolution', 'py-evm', 'py-snappy', 'py-ssz', 'py-wasm', 'py_ecc', 'py_pairing', 'rayonism', 'ropsten', 'sharding', 'simplecasper', 'solidity-buildpack-deps', 'ssv', 'staking-deposit-cli', 'statesweep', 'system-testing', 'test-tools', 'testeth', 'tests', 'trinity', 'trinity-eth2', 'webthree', 'webthree-umbrella', 'yellowpaper', 'yul-isabelle']"
1,ERC,"['blockies', 'clrfund', 'dapp-styles', 'ens-namehash-py', 'ens-registrar-dapp', 'ERCs', 'meteor-package-elements', 'solidity-examples', 'sourcify', 'stake-voice', 'UniversalLoginSDK']"
2,Informational,"['awesome-remix', 'beacon-metrics', 'benchmarking', 'browser-solidity', 'common', 'cpp-build-env', 'cpp-dependencies-win64', 'cryptography-research-website', 'dapp-bin', 'diary', 'esp-website', 'eth-wiki', 'eth-wiki-test', 'eth2.0-onboarding', 'ethdev-site', 'ethereum-org-fork', 'ethereum-org-website', 'ethereum.org', 'ethsim', 'foundation-archived', 'frontier-guide', 'fv-blog', 'gav', 'guide', 'homebrew-ethereum', 'hunter-cache', 'jenkins-docker', 'langlab', 'libweb3core', 'moon-browser', 'moon-lang', 'plasma', 'play', 'populus', 'portal-blog', 'portal-website', 'pyethereum', 'pyethsaletool', 'remix-ide', 'remix-tests', 'remix-website', 'remix-workshops', 'research', 'rig', 'RIPs', 'scavenger_hunt', 'secure-drop', 'serpent', 'solidity-blog', 'solidity-portal', 'solidity-summit', 'solidity-test-bytecode', 'solidity-underhanded-contest', 'solidity-website', 'tlsnotary-old-website', 'trinity-web', 'wiki', 'www']"
3,Interface,"['act', 'beacon-APIs', 'builder-specs', 'clef-ui', 'cpp-ethereum-cmake', 'cthaeh', 'dopple', 'emacs-solidity', 'eth-abi', 'eth-account', 'eth-enr', 'eth-keys', 'eth-orm', 'eth-rlp', 'eth-tester', 'eth-typeshed', 'eth-typing', 'eth-utils', 'ethbot', 'ethereum-client-binaries', 'ethereum-console', 'ethereum-react-components', 'evmc', 'evmdasm', 'evmlab', 'execution-apis', 'grid', 'grid-ui', 'hexbytes', 'interfaces', 'js-ethereum-cryptography', 'keymanager-APIs', 'lahja', 'libsnark', 'meteor-dapp-catalog', 'meteor-dapp-wallet', 'meteor-package-accounts', 'meteor-package-blocks', 'meteor-package-tools', 'mist', 'mix', 'moon-tool', 'natspec.js', 'py-geth', 'py-hdwallet', 'py-solc', 'py-trie', 'pyrlp', 'remix', 'remix-desktop', 'remix-live', 'remix-live-alpha', 'remix-live-beta', 'remix-plugin', 'remix-project', 'remix-vscode', 'remixd', 'remote-signing-api', 'retesteth', 'rpc-tests', 'serpent-go', 'solc-bin', 'solc-js', 'solidity', 'solidity.js', 'staking-launchpad', 'swarm-dapps', 'trio-run-in-process', 'tryethereum', 'twig', 'vim-solidity', 'web3.py']"
4,Meta,"['aio-run-in-process', 'alethzero', 'cable', 'deposit_contract', 'devops-test-prater-redirect', 'docker-pyeth-dev', 'EIP-Bot', 'eip-review-bot', 'EIPs', 'eipv', 'eipw', 'eipw-action', 'eip_validator', 'eth2.0-pm', 'eth2.0-test-generators', 'ethereum-buildbot', 'ethereum-dockers', 'ethereum-docs', 'ethereum-foundation-website', 'ethereum-org', 'ethereum-org-next', 'ethereum-ppa', 'ethereum-python-project-template', 'fellowship-program-website', 'geth-website', 'GitSync', 'go-build', 'grants-advisors', 'js-team-organization', 'kzg-ceremony', 'pm', 'public-attacknets', 'public-disclosures', 'pytest-ethereum', 'remix-plugins-directory', 'requests-for-proposals', 'snake-charmers-blog', 'snake-charmers-tactical-manual', 'verkle-dev-website', 'webthree-helpers']"
5,Networking,"['alexandria', 'bench', 'ddht', 'devp2p', 'discv4-crawl', 'discv4-dns-lists', 'ecp', 'eth-net-intelligence-api', 'eth-netstats', 'eth-portal', 'ethereum-binaries', 'glados', 'hive', 'libwhisper', 'local-testnet', 'meteor-dapp-whisper-chat-client', 'meteor-ethereum-networkinfo', 'node-crawler', 'node-ethereum', 'nodemonitor', 'portal-hive', 'portal-network-specs', 'pydevp2p', 'pytest-asyncio-network-simulator', 'trin', 'upnp-port-forward', 'utp', 'whisper']"
6,"Since there's no available information about the repository's content, it's not possible to classify it.",['economic-modeling']
7,This repository cannot be classified as it does not provide any description or Readme.,['pyethapp']
8,Unable to classify as essential information about the repository is missing.,['ethendance']
9,Unable to classify as the repository description and Readme are not provided.,['remix-theia']
