Cluster Number,Cluster Description,Repo Name
1,Ethereum Development Tools and Libraries,"UniversalLoginSDK, aio-run-in-process, async-service, asyncio-cancel-token, asyncio-run-in-process, bimini, btcrelay, builder-specs, c-kzg-4844, cable, cthaeh, docker-pyeth-dev, eth-abi, eth-account, eth-bloom, eth-enr, eth-hash, eth-keyfile, eth-keys, eth-orm, eth-rlp, eth-typeshed, eth-typing, ethereum-binaries, ethereum-console, ethereum-python-project-template, evmcodegen, evmdasm, evmlab, gethkey, grid, hexbytes, homebrew-ethereum, js-ethereum-cryptography, meteor-package-blocks, meteor-package-tools, mix, natspec.js, Populus, py-geth, py-hdwallet, py-trie, py_ecc, py_pairing, pyeth_keys, pyrlp, serpent-go, snake-charmers-tactical-manual, twig, web3.py"
2,Ethereum Protocol Specifications,"annotated-spec, common, consensus-specs, deposit_contract, execution-apis, execution-specs, interfaces, kzg-ceremony-specs, portal-network-specs, rayonism, yellowpaper"
3,Ethereum Improvement Proposals (EIPs) Management,"ERCs, RIPs, eip-review-bot, eip_validator, eipv, eipw, eipw-action, ens-namehash-py, eth2.0-pm, pm"
4,Ethereum Client Implementations,"aleth, alethzero, clef-ui, cpp-build-env, cpp-dependencies, cpp-ethash, cpp-ethereum-cmake, ethash, ethereum-client-binaries, ethereum-ppa, ethereumj, evmc, evmjit, evmone, go-build, go-ethereum, go-verkle, TurboEthereum, keymanager-APIs, libethereum, libweb3core, mantis-apache2, node-ethereum, py-evm, py-ssz, py-wasm, pyethapp, pyethereum, sharding, trinity, trinity-eth2, webthree, webthree-helpers, webthree-umbrella"
5,Ethereum Networking and Communication,"alexandria, ddht, devp2p, discv4-crawl, discv4-dns-lists, dopple, lahja, libwhisper, meteor-ethereum-networkinfo, pydevp2p, trin, upnp-port-forward, utp, whisper"
6,Ethereum Simulation and Testing,"abm1559, beaconrunner, bench, benchmarking, bls12-381-tests, consensus-spec-tests, eth-tester, eth2-client-tests, eth2.0-test-generators, eth2.0-tests, ethsim, execution-spec-tests, fuzzertests, genesis_block_generator, hive, legacytests, local-testnet, merge-testnet-verifier, portal-hive, portal-spec-tests, pytest-asyncio-network-simulator, pytest-ethereum, remix-tests, retesteth, ropsten, rpc-tests, solidity-test-bytecode, system-testing, test-tools, testeth, testng, tests, trio-run-in-process"
7,Centralized Management and Deployment Tools for Ethereum,"consensus-deployment-ansible, devops-test-prater-redirect, ethereum-buildbot, ethereum-dockers, grid-ui, jenkins-docker, pyethsaletool"
8,Solidity Programming Language and Tools,"awesome-remix, browser-solidity, emacs-solidity, fe, langlab, py-solc, remix, remix-desktop, remix-live, remix-live-alpha, remix-live-beta, remix-plugin, remix-plugins-directory, remix-project, remix-theia, remix-vscode, remixd, serpent, solc-bin, solc-js, solidity-blog, solidity-buildpack-deps, solidity-examples, solidity-fuzzing-corpus, solidity-portal, solidity-underhanded-contest, solidity.js, sourcify, vim-solidity"
9,Ethereum Web Development,"dapp-bin, dapp-styles, ens-registrar-dapp, ethdev-site, ethereum-org, ethereum-org-next, ethereum-react-components, ethereum.org, foundation-archived, geth-website, meteor-dapp-catalog, meteor-dapp-wallet, meteor-dapp-whisper-chat-client, meteor-package-accounts, meteor-package-elements, mist, moon-browser, play, portal-blog, remix-website, Secure-drop, solidity-summit, solidity-website, swarm-dapps, trinity-web, tryethereum, www"
10,Ethereum Education and Documentation,"diary, eth-wiki, eth-wiki-test, eth2.0-onboarding, ethbot, ethereum-docs, ethereum-org-fork, ethereum-org-website, frontier-guide, homestead-guide, portal-website, remix-ide, remix-workshops, snake-charmers-blog, verkle-dev-website, wiki"
11,Miscellaneous Ethereum Tools and Utilities,"GitSync, blake2b-py, blockies, cpp-dependencies-win64, cryptopp, devcommon, ecp, eth-portal, eth-utils, ethendance, gav, hunter-cache, kzg-ceremony-sequencer, leveldb, moon-lang, moon-tool, news, plasma, portal-accumulators, profiling, py-snappy, scavenger_hunt, statesweep, tlsnotary-old-website"
12,Ethereum Research and Formal Verification,"Yul-K, act, cbc-casper, cryptography-research-website, economic-modeling, fv-blog, hevm, kzg-ceremony, kzg-ceremony-verifier, libsnark, oyente, pos-evolution, research, rig, yul-isabelle"
13,Ethereum Networking Monitoring and Dashboards,"beacon-metrics, eth-net-intelligence-api, eth-netstats, glados, node-crawler, nodemonitor"
14,Ethereum Staking and Validator Support,"beacon-APIs, beacon_chain, casper, distributed-validator-specs, go-casper, mining, public-attacknets, Remote-signing-api, simplecasper, ssv, stake-voice, staking-deposit-cli, staking-launchpad"
15,Ethereum Ecosystem Support Programs,"clrfund, esp-website, ethereum-foundation-website, fellowship-program-website, grants-advisors, js-team-organization, public-disclosures, requests-for-proposals"
